2020-Oct-10 11:50:11.629  INFO restartedMain c.f.FelkinAtdenApplication:55 - Starting FelkinAtdenApplication on DESKTOP-9CBD24B with PID 1500 (C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden\build\classes\java\main started by Piuta in C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden)
2020-Oct-10 23:47:00.071  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:53 - Spring Data repositories initialized!
2020-Oct-10 23:47:00.086  INFO restartedMain c.f.FelkinAtdenApplication:61 - Started FelkinAtdenApplication in 6.549 seconds (JVM running for 7.865)
2020-Oct-10 23:47:00.496  INFO RMI TCP Connection(1)-192.168.1.6 o.a.c.c.C.[.[.[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-Oct-10 23:47:00.496  INFO RMI TCP Connection(1)-192.168.1.6 o.s.w.s.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2020-Oct-10 23:47:00.502  INFO RMI TCP Connection(1)-192.168.1.6 o.s.w.s.DispatcherServlet:547 - Completed initialization in 5 ms
2020-Oct-10 23:52:08.505  INFO restartedMain c.f.FelkinAtdenApplication:55 - Starting FelkinAtdenApplication on DESKTOP-9CBD24B with PID 5884 (C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden\build\classes\java\main started by Piuta in C:\Users\Piuta\Documents\Prosonal_project\Back_End\felkin_atden)
2020-Oct-10 23:52:08.589  INFO restartedMain c.f.FelkinAtdenApplication:651 - No active profile set, falling back to default profiles: default
2020-Oct-10 23:52:08.641  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-Oct-10 23:52:08.641  INFO restartedMain o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-Oct-10 23:52:10.282  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 23:52:10.284  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2020-Oct-10 23:52:10.314  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 22ms. Found 0 JDBC repository interfaces.
2020-Oct-10 23:52:10.329  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-Oct-10 23:52:10.330  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-Oct-10 23:52:10.354  INFO restartedMain o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 16ms. Found 0 JPA repository interfaces.
2020-Oct-10 23:52:11.320  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:108 - Tomcat initialized with port(s): 8080 (http)
2020-Oct-10 23:52:11.332  INFO restartedMain o.a.c.c.StandardService:173 - Starting service [Tomcat]
2020-Oct-10 23:52:11.333  INFO restartedMain o.a.c.c.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.38]
2020-Oct-10 23:52:11.541  INFO restartedMain o.a.c.c.C.[.[.[/]:173 - Initializing Spring embedded WebApplicationContext
2020-Oct-10 23:52:11.542  INFO restartedMain o.s.b.w.s.c.ServletWebServerApplicationContext:285 - Root WebApplicationContext: initialization completed in 2901 ms
2020-Oct-10 23:52:11.959  INFO restartedMain o.s.s.c.ThreadPoolTaskExecutor:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-Oct-10 23:52:11.971  INFO restartedMain c.z.h.HikariDataSource:110 - HikariPool-1 - Starting...
2020-Oct-10 23:52:12.725  INFO restartedMain c.z.h.HikariDataSource:123 - HikariPool-1 - Start completed.
2020-Oct-10 23:52:12.782  INFO task-1 o.h.j.i.u.LogHelper:31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-Oct-10 23:52:12.849  WARN restartedMain o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration:220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-Oct-10 23:52:12.879  INFO task-1 o.h.Version:44 - HHH000412: Hibernate ORM core version 5.4.21.Final
2020-Oct-10 23:52:13.170  INFO task-1 o.h.a.c.Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-Oct-10 23:52:13.395  INFO task-1 o.h.d.Dialect:170 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-Oct-10 23:52:14.657  INFO task-1 o.h.e.t.j.p.i.JtaPlatformInitiator:52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-Oct-10 23:52:14.670  INFO task-1 o.s.o.j.LocalContainerEntityManagerFactoryBean:416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-Oct-10 23:52:14.856  INFO restartedMain o.s.b.d.a.OptionalLiveReloadServer:58 - LiveReload server is running on port 35729
2020-Oct-10 23:52:14.863  INFO restartedMain o.s.b.a.e.w.EndpointLinksResolver:58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-Oct-10 23:52:14.928  INFO restartedMain o.s.b.w.e.t.TomcatWebServer:220 - Tomcat started on port(s): 8080 (http) with context path ''
2020-Oct-10 23:52:14.931  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:49 - Triggering deferred initialization of Spring Data repositories…
2020-Oct-10 23:52:14.932  INFO restartedMain o.s.d.r.c.DeferredRepositoryInitializationListener:53 - Spring Data repositories initialized!
2020-Oct-10 23:52:14.947  INFO restartedMain c.f.FelkinAtdenApplication:61 - Started FelkinAtdenApplication in 6.81 seconds (JVM running for 7.643)
2020-Oct-10 23:52:15.625  INFO RMI TCP Connection(3)-192.168.1.6 o.a.c.c.C.[.[.[/]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-Oct-10 23:52:15.626  INFO RMI TCP Connection(3)-192.168.1.6 o.s.w.s.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2020-Oct-10 23:52:15.635  INFO RMI TCP Connection(3)-192.168.1.6 o.s.w.s.DispatcherServlet:547 - Completed initialization in 9 ms
